fragment_length	cancer	healthy	enrichment	threshold_95	threshold_99	sig_95	sig_99
77	6.241665543511832e-5	2.1306046242041255e-5	2.9281535011879956	2.3959265216663264	2.8843685978551923	TRUE	TRUE
78	7.96934789832013e-5	2.7537278544191805e-5	2.8929710372425967	2.3325876526083	2.8174300185353682	TRUE	TRUE
79	1.0841317426488263e-4	3.7664421300986906e-5	2.8776334319445187	2.331611370821105	2.8326515223544826	TRUE	TRUE
80	1.3642470049916896e-4	5.452117001977091e-5	2.5017746813374186	2.1939126618769875	2.599883755629891	TRUE	FALSE
81	1.4165179214899653e-4	6.720959034782538e-5	2.107299247377504	2.0292831713033643	2.368136876368312	TRUE	FALSE
82	1.1826293347294503e-4	5.881033078755541e-5	2.010579197524096	1.9675545457020167	2.278664269963808	TRUE	FALSE
83	9.754757575771411e-5	5.463324574538035e-5	1.7851716973814824	1.8108506560221156	2.092864066769895	FALSE	FALSE
84	9.493984190420676e-5	5.985875402395409e-5	1.5857995285190063	1.687276307095381	1.940507435072767	FALSE	FALSE
85	1.0022779206983613e-4	6.407466991605997e-5	1.5639901430578875	1.658834824503524	1.8995537039575205	FALSE	FALSE
86	1.0990783954012074e-4	7.23662172145682e-5	1.5185629170737873	1.6149497389352268	1.8460665235482854	FALSE	FALSE
87	1.200845743713519e-4	8.115530969956861e-5	1.4795061438913002	1.5715127084107905	1.775307143457312	FALSE	FALSE
88	1.3554727836445504e-4	9.455360626306781e-5	1.4333979394501326	1.5555138067972472	1.7452876958580952	FALSE	FALSE
89	1.7285060794618574e-4	1.2517961855848783e-4	1.3807103970480668	1.5410047416986292	1.7178624243115836	FALSE	FALSE
90	2.367020504361382e-4	1.7182887270022877e-4	1.3774651027248217	1.5260470559853414	1.6869132966378995	FALSE	FALSE
91	2.983668843227148e-4	2.080367463659528e-4	1.4341338643089834	1.5255156124962739	1.6925292325958015	FALSE	FALSE
92	3.0111559105139795e-4	2.1169516994533694e-4	1.4223346134114114	1.5085222651184949	1.6727033092968688	FALSE	FALSE
93	2.4964361848223024e-4	1.746621215964283e-4	1.4292127226748872	1.4909588090320287	1.6490558672433966	FALSE	FALSE
94	2.1910495352195936e-4	1.4273672121941443e-4	1.5349210941607234	1.4699652631066102	1.6287809819506132	TRUE	FALSE
95	2.1573424100525496e-4	1.324777838848496e-4	1.6283330785633654	1.4611277686841446	1.6212074379443917	TRUE	TRUE
96	2.265258466865576e-4	1.35910689963677e-4	1.666603125301186	1.4496152730421445	1.600367663963953	TRUE	TRUE
97	2.496884517919857e-4	1.5127074208074858e-4	1.6504972698951357	1.4357511448659201	1.5823436908120347	TRUE	TRUE
98	2.912392370611781e-4	1.7995856576526613e-4	1.6182783689071727	1.4277794729420907	1.5734332719929154	TRUE	TRUE
99	3.516041231666551e-4	2.265214239230431e-4	1.5521207480958645	1.4152404444845126	1.5492715274465694	TRUE	TRUE
100	4.106968470910573e-4	2.7369010150313895e-4	1.5005359692435014	1.3940061943324107	1.517282226434236	TRUE	FALSE
101	4.4687619805397515e-4	3.0269244053913915e-4	1.4762887185780535	1.3866248148802593	1.5102169504140588	TRUE	FALSE
102	4.6037569654212905e-4	3.0667372651325134e-4	1.5011415890116913	1.3800798322452739	1.5002510279590304	TRUE	TRUE
