fragment_length	cancer	healthy	enrichment	threshold_95	threshold_99	sig_95	sig_99
127	0.0011796263671354967	8.727280105682252e-4	1.351638582084286	1.281060664838403	1.4283620108264554	TRUE	FALSE
128	0.0012894765673979135	9.658279518493847e-4	1.335085833942253	1.2726097680602821	1.4166969538114527	TRUE	FALSE
129	0.0014419233336976746	0.0011117056161461217	1.2970253478099485	1.2594351616164345	1.3904263982051133	TRUE	FALSE
130	0.0017068915220701192	0.0013701437504671948	1.2457664123373773	1.2445234408670451	1.3644526751687673	TRUE	FALSE
131	0.002136212084855716	0.0017822487273519419	1.198598190078538	1.233605548331908	1.3403154925181862	FALSE	FALSE
132	0.002765335112474873	0.002395831534713337	1.1542228784366348	1.2240801106134118	1.3261896252618879	FALSE	FALSE
133	0.003377361207054307	0.003013624753115322	1.120693608793496	1.2159741941426954	1.31373518241463	FALSE	FALSE
134	0.003506495577914994	0.003159609023898369	1.1097842972184178	1.2119477855546121	1.3099894675980688	FALSE	FALSE
135	0.00315397312241212	0.002787619432005217	1.1314176433211864	1.211011525404035	1.3078287775767883	FALSE	FALSE
136	0.0028495555097712206	0.002422011467958891	1.176519509619634	1.215044312558629	1.3101022606765511	FALSE	FALSE
137	0.002960426257738978	0.002467391729954595	1.1998152638862971	1.2111585622634045	1.3092114687451877	FALSE	FALSE
138	0.0034521682953393864	0.0029017342815792838	1.1896872916246544	1.2035889475157988	1.297482612016917	FALSE	FALSE
139	0.004242081610760982	0.0036560899145222396	1.16027507725136	1.193638707489511	1.2763759183014982	FALSE	FALSE
140	0.005194112924916534	0.004622147958591447	1.1237419775457835	1.1848307126039135	1.2646864850118102	FALSE	FALSE
141	0.005959894777933719	0.0054268032526123295	1.0982310428804192	1.1803978632422654	1.2523019063727283	FALSE	FALSE
142	0.006295629436970706	0.0057705152795588565	1.090997635738976	1.1765248466559366	1.2505066181977675	FALSE	FALSE
143	0.006383541110527325	0.005812411486274469	1.0982584669060056	1.1739419724937088	1.2459096896612072	FALSE	FALSE
144	0.006550839742690134	0.005929538548772707	1.1047788358265525	1.1708744471774284	1.2448101532276448	FALSE	FALSE
145	0.006746009171965471	0.006079840055647481	1.1095683462948573	1.1675028097794606	1.2405258581890926	FALSE	FALSE
146	0.00681592828243607	0.006071388555928056	1.122629031787258	1.1653203699649342	1.240247678705109	FALSE	FALSE
147	0.0069739706819274975	0.006140341633983918	1.135760799647026	1.1636549526083124	1.2361677388293264	FALSE	FALSE
148	0.0073386351702065524	0.006443176669942323	1.1389760294298978	1.160594221354073	1.2301493574670905	FALSE	FALSE
149	0.007848789524770888	0.00695600565172572	1.1283455813995589	1.154942195860536	1.22257388936506	FALSE	FALSE
150	0.008458043509013777	0.0076293984137616585	1.1086106615759954	1.1491104484664474	1.2128078895843577	FALSE	FALSE
151	0.009202577213299035	0.008486088889380685	1.0844296458546971	1.143792556108047	1.2037598445330444	FALSE	FALSE
152	0.009875486767468798	0.009282309407863254	1.0639029248555116	1.1387479653368813	1.1948513007443509	FALSE	FALSE
153	0.009965706382489892	0.009450736612490894	1.0544887923794701	1.135706726171521	1.1889153157055352	FALSE	FALSE
154	0.009702929678160116	0.009203059237434329	1.0543145365779232	1.133921413059445	1.1870795490140305	FALSE	FALSE
155	0.009760020156105904	0.009239899019160395	1.056289638335938	1.1346295297605513	1.1876734945548013	FALSE	FALSE
156	0.010350871653136117	0.009834515317729931	1.0525034324204041	1.1337542100790174	1.1875464069167356	FALSE	FALSE
157	0.011417851127621201	0.010918228250386927	1.0457594774703298	1.1326212473522026	1.1847406618441025	FALSE	FALSE
158	0.012804452384753652	0.012295160814304682	1.0414212684102324	1.1297093207743096	1.1807051022924504	FALSE	FALSE
159	0.014314156083603972	0.013802164978527568	1.0370942337619184	1.1245047041674703	1.174843517273764	FALSE	FALSE
160	0.01557632156028178	0.0150864481921527	1.0324704023893352	1.1199061720623207	1.168262155228075	FALSE	FALSE
161	0.01649063692308561	0.015996486222977682	1.030890558358532	1.1179055769603203	1.1616802488149283	FALSE	FALSE
162	0.017473311156908613	0.01693563915860424	1.0317473510031476	1.1172029657214713	1.1634514063223786	FALSE	FALSE
163	0.01919872833767561	0.018548797381866242	1.035038422817671	1.1187515392804483	1.1641683312342954	FALSE	FALSE
164	0.021810946340300397	0.021027383280156776	1.0372634424868556	1.1197577630089492	1.164333070316899	FALSE	FALSE
165	0.02425757462652605	0.023465170301747888	1.0337689425177414	1.1173060363971117	1.1636816166291861	FALSE	FALSE
166	0.025440127541588503	0.02478532299376137	1.0264186302436182	1.11278550940892	1.1564242074904887	FALSE	FALSE
167	0.025640683455487125	0.025169761388390357	1.018709429649964	1.1059153255844736	1.146744346408455	FALSE	FALSE
168	0.025329377680006475	0.025021645992675746	1.012298214291684	1.099881426970338	1.1383021673278753	FALSE	FALSE
169	0.024637565178387003	0.02447438771105231	1.0066668634407705	1.0939503505272719	1.1308107645842724	FALSE	FALSE
170	0.023561774252779683	0.023529742938397023	1.001360886128575	1.0905817822524744	1.1236323100901668	FALSE	FALSE
171	0.022367778122746096	0.0224692247249021	0.9954846436294706	1.0860329239479207	1.1166839655266114	FALSE	FALSE
172	0.021436284721802184	0.02166801442424433	0.9893049916363	1.0809630198837314	1.111524463173578	FALSE	FALSE
173	0.02103248471578733	0.021371441815373357	0.9841392572430575	1.0769613008951209	1.1056604102449445	FALSE	FALSE
174	0.020952466988925018	0.021395312938033165	0.9793012729749028	1.0751691862562733	1.101859455065012	FALSE	FALSE
175	0.02089116649420968	0.021449172734659166	0.9739842656313518	1.0727746937531448	1.097958580716451	FALSE	FALSE
176	0.020539360671161754	0.021220333971075877	0.9679089414930159	1.0711200828568008	1.0964313731821405	FALSE	FALSE
177	0.019718124277754934	0.020523759149583605	0.9607457642913013	1.069253453497021	1.0947381125003015	FALSE	FALSE
178	0.0184892341928174	0.019400421041828354	0.9530321338197916	1.0672060020575092	1.0954476494664132	FALSE	FALSE
179	0.017092716788026315	0.018089906320745235	0.9448753927305154	1.0668519409325141	1.093993344170965	FALSE	FALSE
180	0.01569884873558879	0.01674985418199391	0.9372523003777569	1.0664808068494425	1.0956508633867406	FALSE	FALSE
181	0.01441333106138115	0.015502333376201764	0.9297517614986907	1.0677190285360203	1.097469186976287	FALSE	FALSE
182	0.013304428002464331	0.014405532948518813	0.9235631069242205	1.069594670602493	1.1018494862995687	FALSE	FALSE
183	0.0124143004836906	0.013511599754455953	0.9187876729193222	1.0712751331186066	1.1035895708946892	FALSE	FALSE
184	0.011748663172859284	0.012852675568659936	0.9141018124264467	1.0739547213822591	1.107688184460497	FALSE	FALSE
185	0.011279309914611828	0.012386740343458191	0.9105947566440431	1.0779775860466232	1.1121407848168878	FALSE	FALSE
186	0.010883669162597642	0.011995912877719894	0.907280688075442	1.0815903596037848	1.1170577538228068	FALSE	FALSE
187	0.010483025627318607	0.011619178793651078	0.9022166532870789	1.084835715604906	1.1218175342408736	FALSE	FALSE
188	0.01001556647038441	0.011164175410194295	0.897115741309612	1.0886982091436688	1.124313176481568	FALSE	FALSE
189	0.009428052963905153	0.010577900649270992	0.8912963321877667	1.0915983259448072	1.1294212474662915	FALSE	FALSE
190	0.00875079058168577	0.00988798165549372	0.8849917037322612	1.0947539358953369	1.1335495444935284	FALSE	FALSE
191	0.008049206975254056	0.009164823328563164	0.8782709610405962	1.097513284203043	1.1388292849453556	FALSE	FALSE
192	0.007388473391558507	0.008456415043076536	0.87371121412678	1.1008593553228536	1.1443348022287643	FALSE	FALSE
193	0.006808936870888119	0.007831865105732177	0.8693878258993986	1.1028528508113862	1.1501242848887048	FALSE	FALSE
194	0.006336546194820977	0.007315850173324305	0.866138231827587	1.1063931886740461	1.155465202759782	FALSE	FALSE
195	0.005969640863233969	0.006898472155825249	0.8653557012092953	1.1100118254816198	1.157577392567617	FALSE	FALSE
196	0.005690783625030639	0.006578845069081441	0.8650112466796146	1.1130574497132832	1.163957763341451	FALSE	FALSE
197	0.005469268789607012	0.0063336446351696715	0.8635249480192878	1.1159418047132603	1.169502829521574	FALSE	FALSE
198	0.00525482060470465	0.00609891972058196	0.861597172856623	1.1188697844280684	1.1730776773823686	FALSE	FALSE
199	0.005029639350763693	0.005847723569275398	0.8601006340627321	1.1222435790118537	1.175531063104075	FALSE	FALSE
200	0.0047681117351891554	0.00556558113329399	0.8567125433749124	1.124785925444966	1.1783582101379007	FALSE	FALSE
201	0.004467819294974865	0.005237538954018502	0.8530362836125737	1.127175793990238	1.1829878344751839	FALSE	FALSE
202	0.00414498711782854	0.004876746169196753	0.8499475827825235	1.130261314866542	1.1869008092953104	FALSE	FALSE
203	0.0038389911977690463	0.004525981641307093	0.8482099619301015	1.133416230710645	1.1911474027787867	FALSE	FALSE
204	0.0035649007367903056	0.004206521771937078	0.8474679213343239	1.1360041733584882	1.1946938789401844	FALSE	FALSE
205	0.003333104083475554	0.003930215071462969	0.8480695183787158	1.139788739113352	1.1976149509684857	FALSE	FALSE
206	0.0031460579309948843	0.00369856988678729	0.8506124045701378	1.142036081817006	1.2007892541649203	FALSE	FALSE
207	0.0029864777451568945	0.0035081099030940194	0.8513043532300428	1.144996683693884	1.205222640526696	FALSE	FALSE
