fragment_length	threshold_95	threshold_99
130	1.2445234408670451	1.3644526751687673
131	1.233605548331908	1.3403154925181862
132	1.2240801106134118	1.3261896252618879
133	1.2159741941426954	1.31373518241463
134	1.2119477855546121	1.3099894675980688
135	1.211011525404035	1.3078287775767883
136	1.215044312558629	1.3101022606765511
137	1.2111585622634045	1.3092114687451877
138	1.2035889475157988	1.297482612016917
139	1.193638707489511	1.2763759183014982
140	1.1848307126039135	1.2646864850118102
141	1.1803978632422654	1.2523019063727283
142	1.1765248466559366	1.2505066181977675
143	1.1739419724937088	1.2459096896612072
144	1.1708744471774284	1.2448101532276448
145	1.1675028097794606	1.2405258581890926
146	1.1653203699649342	1.240247678705109
147	1.1636549526083124	1.2361677388293264
148	1.160594221354073	1.2301493574670905
149	1.154942195860536	1.22257388936506
150	1.1491104484664474	1.2128078895843577
151	1.143792556108047	1.2037598445330444
152	1.1387479653368813	1.1948513007443509
153	1.135706726171521	1.1889153157055352
154	1.133921413059445	1.1870795490140305
155	1.1346295297605513	1.1876734945548013
156	1.1337542100790174	1.1875464069167356
157	1.1326212473522026	1.1847406618441025
158	1.1297093207743096	1.1807051022924504
159	1.1245047041674703	1.174843517273764
160	1.1199061720623207	1.168262155228075
161	1.1179055769603203	1.1616802488149283
162	1.1172029657214713	1.1634514063223786
163	1.1187515392804483	1.1641683312342954
164	1.1197577630089492	1.164333070316899
165	1.1173060363971117	1.1636816166291861
166	1.11278550940892	1.1564242074904887
167	1.1059153255844736	1.146744346408455
168	1.099881426970338	1.1383021673278753
169	1.0939503505272719	1.1308107645842724
170	1.0905817822524744	1.1236323100901668
171	1.0860329239479207	1.1166839655266114
172	1.0809630198837314	1.111524463173578
173	1.0769613008951209	1.1056604102449445
174	1.0751691862562733	1.101859455065012
175	1.0727746937531448	1.097958580716451
176	1.0711200828568008	1.0964313731821405
177	1.069253453497021	1.0947381125003015
178	1.0672060020575092	1.0954476494664132
179	1.0668519409325141	1.093993344170965
180	1.0664808068494425	1.0956508633867406
181	1.0677190285360203	1.097469186976287
182	1.069594670602493	1.1018494862995687
183	1.0712751331186066	1.1035895708946892
184	1.0739547213822591	1.107688184460497
185	1.0779775860466232	1.1121407848168878
186	1.0815903596037848	1.1170577538228068
187	1.084835715604906	1.1218175342408736
188	1.0886982091436688	1.124313176481568
189	1.0915983259448072	1.1294212474662915
190	1.0947539358953369	1.1335495444935284
191	1.097513284203043	1.1388292849453556
192	1.1008593553228536	1.1443348022287643
193	1.1028528508113862	1.1501242848887048
194	1.1063931886740461	1.155465202759782
195	1.1100118254816198	1.157577392567617
196	1.1130574497132832	1.163957763341451
197	1.1159418047132603	1.169502829521574
198	1.1188697844280684	1.1730776773823686
199	1.1222435790118537	1.175531063104075
200	1.124785925444966	1.1783582101379007
201	1.127175793990238	1.1829878344751839
202	1.130261314866542	1.1869008092953104
203	1.133416230710645	1.1911474027787867
204	1.1360041733584882	1.1946938789401844
205	1.139788739113352	1.1976149509684857
206	1.142036081817006	1.2007892541649203
207	1.144996683693884	1.205222640526696
208	1.1470205103063114	1.2090957148774264
209	1.1494190494525114	1.2132744201721988
210	1.1528490066328934	1.216032323086247
211	1.1552972968934692	1.2194468050638105
212	1.1582927287877691	1.2232756935621703
213	1.1622182973098876	1.2294532588144316
214	1.1645263742458851	1.2341998241527863
215	1.1681368397243017	1.237907112024043
216	1.171672948571605	1.2436659120274622
217	1.1749252448928635	1.2504263465669667
218	1.1790144736484165	1.256894498313173
219	1.182673030577685	1.260442728432505
220	1.1862327839368771	1.265034200604982
221	1.1899282819542565	1.2712615487080159
222	1.1941472308091095	1.276102863282599
223	1.1977424347139773	1.2808103514969524
224	1.2003370837614145	1.2857253431889324
225	1.2062375955444609	1.291229507720762
226	1.2106939566388666	1.2966716328840284
227	1.217164135309219	1.302711090944797
228	1.220085020951113	1.3059145043273095
229	1.225679978152894	1.3108813616009192
230	1.226798435419961	1.312732350768982
231	1.230913926042774	1.3211754474565391
232	1.2336950634002417	1.3338086625660523
233	1.2328136137491876	1.331295614419487
234	1.2384434999240241	1.3418805730798018
235	1.2538505283464367	1.360380979734965
236	1.2689894895815481	1.384758975370384
237	1.2730653328598807	1.3985890353109658
238	1.27955360348857	1.4032529925034722
239	1.2803723684375223	1.400938093362511
240	1.2887406995576864	1.4210282771849625
241	1.2953103648896516	1.4158287118479929
242	1.2970005590946443	1.420191613672383
243	1.3149497726629347	1.4567990253817682
244	1.3222042560873986	1.4620571130068412
245	1.3407871748463618	1.4900501181155448
246	1.3511751242975352	1.5084405453598648
247	1.354251703073027	1.5145508931063176
248	1.358139275489385	1.5184629138951897
249	1.3611583311319064	1.522438927450058
250	1.3623376710233857	1.519297800664574
251	1.3621597687543094	1.5279231956993413
252	1.367294054128677	1.5464913352630547
253	1.3943709186232196	1.5741220912243739
254	1.3915333111606065	1.5727276093642026
255	1.3954977592385462	1.5751786053305548
256	1.3992193181410033	1.586511175734558
257	1.4044019985167842	1.602130111395302
258	1.4038549872201018	1.5877123344588768
259	1.4148617084690243	1.5959268999816898
260	1.4015037443122176	1.5938124703651855
261	1.4004420385488905	1.5948082400182357
262	1.4360910037591899	1.6420101740202655
263	1.490389778250596	1.739304730494088
264	1.4863586415086505	1.7424289429659967
